State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=536,Old Homepage,02.10.2012,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of Tuvalu on the occasion of Independence Day,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=539,Old Homepage,02.10.2012,"Acting Minister, Deputy Minister of Foreign Affairs of the Republic of Abkhazia Irakli Khintba met with the representative of the Republic of Abkhazia in the Syrian Arab Republic Sharaf Abaza (Marschan).",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=551,Old Homepage,04.10.2012,"The Ministry of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of the Republic of Vanuatu, on the occasion of the Constitution Day.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=555,Old Homepage,08.10.2012,Interview of the Deputy Foreign Minister of the Republic of Abkhazia Irakly Khintba for the radio station “Golos Rossii” from 07.10.2012,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=559,Old Homepage,11.10.2012," On October 11, 2012 there will be the XXI round of Geneva discussions on security and stability in Transcaucasia. The Abkhazian delegation has already been to Geneva.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=578,Old Homepage,17.10.2012,"Acting Foreign Minister Irakli Khintba met with the participants of the V International Congress of Students’ Youth Interdialogue: Apsny.su"" (Russia-Abkhazia) from Turkey, Serbia and the Republika Srpska.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=581,Old Homepage,17.10.2012,Meeting with the President of the State University of Nizhny Novgorod Roman Strongin.  Deputy Minister of Foreign Affairs I. Khintba received the President of the State University of Nizhny Novgorod Roman Strongin. ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=583,Old Homepage,16.10.2012,"Acting Foreign Minister Irakli Khintba Receives a Group of Abkhaz Youth Who Arrived from Turkey to Participate in the V International Congress of Students' Interdialog: Apsny.su ""(Russia-Abkhazia)",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=592,Old Homepage,23.10.2012,The press–conference of the Minister of Foreign Affairs Viacheslav Chirikba on the results of the 21-st round of Geneva discussions on stability and Security in Transcaucasia.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=597,Old Homepage,24.10.2012,"On October 24, a telephone conversation was held between the State Secretary - Deputy Minister of Foreign Affairs of the Russian Federation Grigory Karasin and the Minister of Foreign Affairs of the Republic of Abkhazia V. A. Chirikba.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=598,Old Homepage,25.10.2012,"The Minister of Foreign Affairs of the Republic of Abkhazia Viacheslav Chirikba received the delegation of the Swiss Federal Department of Foreign Affairs, headed by the chief of the Swiss Humanitarian Aid Unit Manuel Bessler.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=609,Old Homepage,08.11.2012,On October 8 the Foreign Minister Viacheslav Chirikba met with the members of the Russian delegation at the Geneva Discussions on Security and Stability in the Transcaucasia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=611,Old Homepage,09.11.2012,    Viacheslav Chirikba congratulated Nina Shtansky on her appointment as the Vice-Chairperson of the Government of the Transnistrian Moldavian Republic in charge of International Cooperation  ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=618,Old Homepage,13.11.2012,Information by the Ministry for Foreign Affairs of the Republic of Abkhazia on the process of repatriation of compatriots from Syria,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=623,Old Homepage,13.11.2012,On November 13 2012 a meeting of the Board of the MFA of Abkhazia was held under the chairmanship of the Minister of Foreign Affairs of the Republic of  Abkhazia.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=629,Old Homepage,14.11.2012,The Foreign Minister Viacheslav Chirikba met with the representative of the Republic of Abkhazia in Syria Sharaf Marschan,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=636,Old Homepage,19.11.2012,Comment of the Press Service of the MFA of Abkhazia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=637,Old Homepage,21.11.2012,The web site of the Professor George Hewitt was launched ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=639,Old Homepage,20.11.2012,"The Foreign Minister Viacheslav Chirikba met with the Deputy of the National Assembly of the Republic of Abkhazia, member of the Committee on Inter-Parliamentary Relations Beslan Butba",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=657,Old Homepage,23.11.2012,"Foreign Minister of the Republic of Abkhazia Viacheslav Chirikba sent a congratulatory note to the Vice-President, Minister of Foreign Affairs of the Bolivarian Republic of Venezuela, Nicolás Maduro on the occasion of his birthday",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=660,Old Homepage,23.11.2012,The Minister of Foreign Affairs of the Republic of Abkhazia Viacheslav Chirikba met with the Co-chairs of the Geneva Discussions on Security and Stability in the Transcaucasia.   The Abkhaz side was represented by the Deputies of the Foreign Minister Irak,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=662,Old Homepage,24.11.2012,The Foreign Minister Viacheslav Chirikba receives delegation from the Town Side of the Republic of Turkey,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=680,Old Homepage,28.11.2012,The Foreign Minister Viacheslav Chirikba Meets with the UNDP Representative and Resident Coordinator Jamie McGoldrick,NA
